Eta;DataProtocollo
61;02/01/15
60;02/01/15
57;02/01/15
39;02/01/15
39;02/01/15
38;02/01/15
53;02/01/15
39;03/01/15
50;03/01/15
67;03/01/15
44;03/01/15
58;03/01/15
48;03/01/15
48;05/01/15
45;05/01/15
30;05/01/15
47;05/01/15
61;05/01/15
52;05/01/15
54;05/01/15
39;05/01/15
36;05/01/15
37;05/01/15
53;05/01/15
37;05/01/15
51;05/01/15
37;05/01/15
42;05/01/15
19;05/01/15
57;05/01/15
57;05/01/15
40;05/01/15
43;05/01/15
37;05/01/15
40;05/01/15
55;05/01/15
36;05/01/15
46;05/01/15
51;05/01/15
48;05/01/15
45;05/01/15
43;05/01/15
37;05/01/15
44;05/01/15
58;05/01/15
46;05/01/15
62;05/01/15
62;05/01/15
47;05/01/15
30;05/01/15
24;05/01/15
40;05/01/15
24;05/01/15
58;05/01/15
44;05/01/15
56;05/01/15
29;05/01/15
37;05/01/15
26;07/01/15
61;07/01/15
47;07/01/15
43;07/01/15
55;07/01/15
49;07/01/15
46;07/01/15
44;07/01/15
51;07/01/15
52;07/01/15
28;07/01/15
52;07/01/15
38;07/01/15
32;07/01/15
34;07/01/15
50;07/01/15
46;07/01/15
29;07/01/15
45;07/01/15
32;07/01/15
42;07/01/15
50;07/01/15
40;07/01/15
39;07/01/15
48;07/01/15
59;07/01/15
46;07/01/15
39;07/01/15
36;07/01/15
31;07/01/15
28;07/01/15
36;07/01/15
23;07/01/15
57;07/01/15
55;07/01/15
43;07/01/15
39;07/01/15
61;07/01/15
42;07/01/15
59;07/01/15
36;07/01/15
41;07/01/15
29;07/01/15
30;07/01/15
54;07/01/15
41;07/01/15
73;07/01/15
49;07/01/15
55;07/01/15
44;07/01/15
51;07/01/15
49;07/01/15
39;07/01/15
25;07/01/15
61;07/01/15
46;07/01/15
60;07/01/15
32;07/01/15
40;07/01/15
43;07/01/15
36;07/01/15
48;07/01/15
36;07/01/15
44;07/01/15
55;07/01/15
39;07/01/15
46;07/01/15
34;07/01/15
55;07/01/15
40;07/01/15
24;07/01/15
53;07/01/15
31;07/01/15
36;07/01/15
35;07/01/15
31;07/01/15
29;07/01/15
11;07/01/15
46;07/01/15
26;07/01/15
45;07/01/15
55;07/01/15
37;07/01/15
52;07/01/15
61;08/01/15
42;08/01/15
55;08/01/15
32;08/01/15
37;08/01/15
30;08/01/15
43;08/01/15
45;08/01/15
37;08/01/15
54;08/01/15
39;08/01/15
3;08/01/15
36;08/01/15
38;08/01/15
56;08/01/15
45;08/01/15
52;08/01/15
31;08/01/15
25;08/01/15
33;08/01/15
30;08/01/15
48;08/01/15
37;08/01/15
35;08/01/15
54;08/01/15
29;08/01/15
60;08/01/15
31;08/01/15
45;08/01/15
53;08/01/15
43;08/01/15
41;08/01/15
45;08/01/15
60;08/01/15
38;08/01/15
77;08/01/15
63;08/01/15
14;08/01/15
53;08/01/15
